Title,Country,Year,Genre,Director,Starring,Poster URL
Crimson Girl,Hong Kong,1961,martial arts,Wong Hok-Sing ,"Sun-Ma Sze-Tsang, Yu Lai-Zhen, Poon Yat-On, Lee Heung-Kam, Lau Hak-Suen, Connie Chan Po-Chu, Yuen Lap-Cheung, Ling Mung, Cheung Sing-Fei ",https://en.hkcinema.ru/foto/03e358c5.jpg
American Shaolin,USA,1991,"action, martial arts",Lucas Lowe ,"Reese Madigan, Daniel Dae Kim, Billy Chang, Cliff Lenderman, Henry O., Michael Depasquale Jr., Trent Bushey, Kong Miu-Deng, Kwan Yung ",https://en.hkcinema.ru/foto/4f03385e.jpg
18 Secrets of Kung Fu,Taiwan,1980,martial arts,Chan Hung-Man ,"Lee Hoi-Hing, Wong Wing-Sang, Wong Chi-Sang, Got Siu-Bo, Mau Ging-Shun, Poon Cheung-Ming, Ricky Cheng Tien-Chi, Hsiao Hou-Tao, Wu Te-Shan ",https://en.hkcinema.ru/foto/994ac528.jpg
The 18 Bronzemen,Taiwan,1976,martial arts,Joseph Kuo Nan-Hong ,"Tien Peng, Carter Wong Ka-Tat, Polly Shang-Kuan Ling-Feng, Yee Yuen, Ko Yu-Min, Chiang Nan, Liu Ping, Chang Yu, Lu Bi-Yun, Kam Kong ",https://en.hkcinema.ru/foto/58adfc83b1d90.jpg
The Eighteen Jade Arhats,Hong Kong,1978,martial arts,Cheung Git ,"Polly Shang-Kuan Ling-Feng, Li Lung-Hua, Lo Lieh, Lung Fei, Chang Yu, Phillip Ko Fei, Chuen Yuen, Fang Fang, Tung Li, Chiang Ching-Hsia ",https://en.hkcinema.ru/foto/ef2aa597.jpg
Arhats in Fury,China,1985,martial arts,Wong Sing-Loy ,"Lau Jan-Ling, Go Hung-Ping, Lee Tak-Shing, Hoh Fook-Sang, Wong Leung, Wong Hoi-Sang, Wong Chi-Wah, Li Li, Lok Woon-Yau, Liu Xiu-Ping ",https://en.hkcinema.ru/foto/3093595e.jpg
Spiritual Kung Fu,Hong Kong,1978,martial arts,Lo Wei ,"Jackie Chan, James Tin Chuen, Dean Shek Tin, Lee Kwan, Li Tong-Chun, Mo Man-Sau, Wang Kuang-Yu, Wong Ching, Wong Yiu ",https://en.hkcinema.ru/foto/d23e8bee.jpg
Bandits of the Water Margin,Hong Kong,1950,martial arts,Law Chi-Hung ,"Fung Fung, Yip Ping, Lai Cheuk-Cheuk, Chan Tin-Chung, Wong San, Wong Cho-San, Ng Wui, To Sam-Ku, Fung Ying-Seung, Fung Ging-Man ",https://en.hkcinema.ru/foto/nofoto.gif
The 36 Crazy Fists,Hong Kong,1977,martial arts,Chen Chi-Hwa ,"Tony Leung Siu-Hung, Yen Shi-Kwan, Ku Feng, Lau Ga-Yung, Michelle Yim, Paul Chun Pui, Fung Hak-On, Jackie Chan, Ma Hon-Yuen, San Kuai, Chan Lau ",https://en.hkcinema.ru/foto/96f7b314.jpg
Angel of the Wilderness,Hong Kong,1962,martial arts,Yan Jun ,"Li Li-Hua, Chao Lei ",https://en.hkcinema.ru/foto/d49477c1.jpg
