title,country,poster,release_year,genre,director,starring
Thirteen Heroes with Seven Swords (Part 6),Hong Kong,https://en.hkcinema.ru/foto/95ea3407.jpg,1950,martial arts,Ng Man-Chiu ,"Walter Tso Tat-Wah, Law Yim-Hing, Ma Ying, Kwok Sau-Zhen, Siu Kwan-Lun, Yeung Ban "
Thirteen Swords (Part 1),Hong Kong,https://en.hkcinema.ru/foto/ad0a363d.jpg,1961,martial arts,Wong Hok-Sing ,"Ting Ying, Mak Bing-Wing, Cheung Yee, Carrie Ku Mei, Siu Lo-Fu, Helena Law Lan, Sek Kin, Au Ka-Sing, Au-Yeung Kim, Lau Hak-Suen "
Thirteen Swords (Part 2),Hong Kong,https://en.hkcinema.ru/foto/1b8a79bb.jpg,1961,martial arts,Wong Hok-Sing ,"Ting Ying, Mak Bing-Wing, Carrie Ku Mei, Cheung Yee, Siu Lo-Fu, Chan Ho-Kau, Helena Law Lan, Sek Kin, Au Ka-Sing, Au-Yeung Kim "
Swordswomen Three,Hong Kong,https://en.hkcinema.ru/foto/ec55f8e2.jpg,1970,martial arts,Shen Chiang ,"Essie Lin Chia, Shen Yi, Lo Lieh, Chang Yu, Violet Pan Ying-Zi, Huang Chung-Hsin, Fang Mian, Liu Wai, Yang Chi-Ching, Lee Wan-Chung "
Triumph of Two Kung Fu Arts,Taiwan,https://en.hkcinema.ru/foto/842ebc77.jpg,1977,"martial arts, drama",Chung Ching-Woon ,"Gua Ah-Lei, Henry Luk Yat-Lung, Chow Siu-Loi, Kam Kong, Liang Hsiu-Shen, Michael Chan Wai-Man, Ting Kwok-Sing, Pui Tak-Wan, Ma Cheung "
The Magnificent 3,Hong Kong,https://en.hkcinema.ru/foto/1dfe846d.jpg,1980,martial arts,"Men Yu-Ting, Mun Kin-Lung ","Poon Kin-Kwan, Kurata Yasuaki, Luk Chuen, Bronson Lee Bong-San, Nakamura Isamu "
The Incredible 3,Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1978,martial arts,Joseph Kuo Nan-Hong ,"Lau Ga-Yung, Hwang Jang-Lee "
Three Kingdoms Undefeated Warrior,China,https://en.hkcinema.ru/foto/5d8d990e9fec1.jpg,2019,"historical, martial arts, drama",Li Run-Cheng ,"Huang Hai-Bing, Dai Gao-Zheng, Lian Yi-Ming, Yang Ruo-Xi, Na Ji-Ma, Wei Zong-Wan, Wang Jian-Guo, Liu Bin, Jason Xu Feng, Zhang Duo-Han "
Triple Stealing of the Nine-Dragon Cup,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1939,martial arts,"Hung Chung-Ho, Fung Chi-Kong ","Sun-Ma Sze-Tsang, Lam Mui-Mui, Fung Fung, Yeung Kwun-Hap, Wong Sau-Nin, Wong Cho-San, Lau Hak-Suen, Ling Mung, Fung Fung "
The Double Double Cross,Taiwan,https://en.hkcinema.ru/foto/bdbd9559.jpg,1976,martial arts,Tien Feng ,"Jimmy Wang Yu, Chia Ling, Chang Yu, Tien Feng, Lung Fei, James Nam Gung-Fan, Miao Tian, Sun Yueh, Wong Fei, Hsieh Han, Chang Chi-Ping "
Triple Flirtation of the White Chrysanthemum,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1939,martial arts,"Hung Chung-Ho, Yeung Wang-Kwun ","Wai Siu-Fong, Wong Hok-Sing, Cheung Wood-Yau, Lau Hak-Suen, Ling Mung, Wu Tip-Lai, Fung Fung, Chu Po-Chuen, Wan Man, Lui Yuk-Long "
The Trail of the Broken Blade,Hong Kong,https://en.hkcinema.ru/foto/3359433f.jpg,1967,martial arts,Chang Cheh ,"Jimmy Wang Yu, Lisa Chiao Chiao, Chin Ping, Chen Hung-Lieh, Wei Pin-Ao, Kiu Chong, Tien Feng, Fan Mei-Sheng, Yuen Shun-Yi, Wang Kuang-Yu "
The Tournament,Hong Kong,https://en.hkcinema.ru/foto/e06e9f07.jpg,1974,martial arts,Wong Fung ,"Angela Mao Ying, Carter Wong Ka-Tat, Whang In-Shik, Wong Sam, Guan Shan, Ko Hsiang-Ting, Maria Yi Yi, Sammo Hung Kam-Bo, Wilson Tong Wai-Shing "
Iron Punch Contest,Taiwan,https://en.hkcinema.ru/foto/56349e7a4fee1.jpg,1973,martial arts,Tang Huang ,"Mang Lee, Kong San, Tsui Fu-Sheng, Ting Chiang, Ko Hsiang-Ting, Wendy Chun Wan, Wang Lai, Ma Kei, Chang Feng, Kong Yeung, Chen Chiu "
It Takes A Thief,Hong Kong,https://en.hkcinema.ru/foto/a959d0d7.jpg,1979,"martial arts, drama","Raymond Lee Wai-Man, Siu Hin-Fai ","Poon Chi-Man, Kenneth Tsang Kong, Paul Chun Pui, Alex Man Chi-Leung, Law Lok-Lam, Lau Kwok-Shing, Ngai Chau-Wa, Ma Man-Ngai, Cheung Ma-Lee "
High Kickers,China,https://en.hkcinema.ru/foto/067cfb90.jpg,2012,"action, martial arts","Xie Yi, Yi Xie ","Eva Huang Sheng-Yi, Gordon Liu Chia-Hui, Daniel Chan Hiu-Tung, Li Ming, Mark Cheng Ho-Nam, Waise Lee Chi-Hung, Zhang Yi-Yun "
Liu Kuen Kung Fu,Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1974,martial arts,,"Kam Chun-Pak, Sun Yueh "
Tae Kwan Do,China,https://en.hkcinema.ru/foto/5e7ee66e.jpg,2004,"martial arts, drama","Sai Fu, Mailisi ","Tao Hong, Song Xiao-Ying, Dillon Wu Di, Yu Cheng-Hui, Han Qing, Wu Jing-Yu, Zhang Chuan, Wei Yao-Ling, Geng Zhi-Hua, Pu Jiang "
The Thousand Faces of Dunjia,China,https://en.hkcinema.ru/foto/5a70d781b161e.jpg,2017,"fantasy, comedy, martial arts",Yuen Wo-Ping ,"Da Peng, Aarif Lee Chi-Ting, Ni Ni, Zhou Dong-Yu, Wu Bai, Ada Liu Yan, Xie Miao, Zhang Yi-Qian, Xu Ming-Hu, Yang Hao-Yu, Wei Lu "
