title,country,poster,release_year,genre,director,starring
The Mysterious Knight,Taiwan,https://en.hkcinema.ru/foto/a7b3dc56.jpg,1969,martial arts,Chan Lit-Ban ,"Kong Ban, Fan Ling, Hau Yee, Sun Yueh, Tang Qi, Han Chiang, Ko Yu-Min, Wang Hung-Chang, Shih Hung, Min Min, Wang Yuan-Bao, Hsian Tai-Wang "
Conspiracy,Taiwan,https://en.hkcinema.ru/foto/4f0e4b5c.jpg,1975,martial arts,Hon Bo-Cheung ,"Bruce Li Shao-Lung, Wan Chung-Shan, Pai Ying, Got Siu-Bo, Ko Hsiang-Ting, Lam Chi, Nam Wan, Cho Kin, Wang Yun, Wong Kwok-Fai "
Conspiracy of Thieves,Hong Kong,https://en.hkcinema.ru/foto/2a5dc67e.jpg,1975,"martial arts, action",Larry Tu Chong-Hsun ,"Dorian Tan Tao-Liang, Sun Yueh, Betty Pei Ti, Tan Tao-Kung, Cliff Ching Ching, Lee Keung, Min Min, Wong Yeuk-Ping, Au Lap-Bo, Wong Cheung "
The Green Dragon Conspiracy,Hong Kong,https://en.hkcinema.ru/foto/f3ec1b80.jpg,1982,"martial arts, drama","Lau Sai-Tim, Taylor Wong Tai-Loi, Chan Fook-Man, Wu Hok-Man ","David Chiang Da-Wei, Wu Wei-Kuo, Amy Chan Sau-Man, Choi King-Fai, Yip Yuk-Ping, Chang Wai-Kuen, Cheung Ying "
Murder Plot,Hong Kong,https://en.hkcinema.ru/foto/7a91a9c0.jpg,1979,martial arts,Chor Yuen ,"David Chiang Da-Wei, Ching Li, Wong Chung, Chen Ping, Danny Lee Sau-Yin, Candice Yu On-On, Lo Lieh, Ching Miao, Norman Chu Siu-Keung "
The No. 37 Plot,Taiwan,https://en.hkcinema.ru/foto/f2df80d6.jpg,1979,martial arts,Wong Gwok-Chue ,"Hui Bat-Liu, Chin Lung, Chan Wai-Lau, Ga Hoi, Ching Kuo-Chung, Au Lap-Bo, Chi Fu-Chiang, Woo Hon-Cheung, Chang Peng-I, Suen Shu-Pau "
Sunset in the Forbidden City,Taiwan,https://en.hkcinema.ru/foto/9333e1ba.jpg,1976,martial arts,Lin Pai ,"Dorian Tan Tao-Liang, Chia Ling, Ma Kei, Chan Wai-Lau, Lung Fei, Lee Ying, Shih Ting-Ken, Wong Yeuk-Ping, Yau Ying-Ming, Cliff Ching Ching "
The Lawman,Taiwan,https://en.hkcinema.ru/foto/871c1d66.jpg,1979,martial arts,Hoh Wai-Hong ,"Nancy Yen Nan-See, Lo Lieh, Tien Peng, Lee Tao-Hung, Wong Bo-Yuk, Tien Yeh, Betty Ting Pei, Hsieh Hsing, Phillip Ko Fei, Au Lap-Bo "
Lady of the Law,Hong Kong,https://en.hkcinema.ru/foto/f56b78b7.jpg,1975,martial arts,"Stanley Siu Wing, Shen Chiang ","Lo Lieh, Shih Szu, Chang Pei-Shan, Chan Shen, Tung Lam, Dean Shek Tin, Yang Chi-Ching, Ou-Yang Sha-Fei, Cheng Lui, Chiang Tao, Law Hon, Shum Lo "
Wu Tang Rules,Hong Kong,https://en.hkcinema.ru/foto/a038428b.jpg,2015,"historical, martial arts",,"Chin Siu-Ho, Tavia Yeung Yee, Yuen Qiu, Timmy Hung Tin-Ming, Jonathan Cheung Wing-Hong, Toby Leung Ching-Kei, Derek Kwok Jing-Hung "
Ever Victorious Hall,Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1974,martial arts,Cheung Git ,"Suen Ga-Lam, Lam Shui-Yiu, Yee Yuen, Law Bun, Kong Yeung, Wong Fei-Lung, Kai Pao-Yu, Cliff Ching Ching, Ma Cheung, Ng Tung-Kiu "
The Fabulous Protectress,Hong Kong,https://en.hkcinema.ru/foto/81375b4d.jpg,1970,martial arts,Leung Yui ,"Hilda Chow Hsuen, Pai Yu, Kong San, Cheung Ban, Louis Lu Yu, Chu Mu, Chung Yau, Wong Sam, Chiang Nan, Chai Lin-Fui, Lau Kong "
Golden Peacock Castle,Taiwan,https://en.hkcinema.ru/foto/bc9aa1f3.jpg,1979,martial arts,Yu Tien-Lung ,"Yeh Hsiao-Yee, Chan Sing, Chui Yuen-Yue, Yu Tien-Lung, Lam Yi-Wa, Yu Bong, Hsiao Wang, Hsieh Han, Got Siu-Bo, Yee Yuen, Chu Siu-Wa "
Sky Dragon Castle,Hong Kong,https://en.hkcinema.ru/foto/24270841.jpg,1969,martial arts,Siu Sang ,"Petrina Fung Bo-Bo, Paul Chun Pui, Kenneth Tsang Kong, Nancy Sit Ka-Yin, Yip Ching, Lee Kui-On, Lam Kau, Lam Tin, Simon Yuen Siu-Tin "
Treasure Castle,Taiwan,https://en.hkcinema.ru/foto/28c111b5.jpg,1972,martial arts,"Han Ying-Chieh, Kim Si-Hyeon, Gwon Yeong-sun ","Chiang Ming, Suen Ga-Lam, Su Chin-Lung, Lam Ching-Ying, Billy Chan Wui-Ngai, Yung Yung, Yung Yung, Tsai Hei-Hwa, Lau Gong "
Ninja Commandments,Hong Kong,https://en.hkcinema.ru/foto/52f57f2c.jpg,1986,martial arts,Wu Min-Hsiung ,"Richard Harrison, Dave Wheeler, Louis Roth, Peter Kjaer, Elsa Yeung Wai-San, Eagle Lee Siu-Fei, Tse Man-Yik, O Chun-Hung, Ma Sha "
Forbidden Killing,Hong Kong,https://en.hkcinema.ru/foto/707fbc3a.jpg,1970,martial arts,Wong Ping ,"Melinda Chen Man-Ling, Cheung Ban, Chu Mu, Wong Sam, Kong San, Lee Ying, Ma Chien-Tang, Leung Yui, Chai Lin-Fui, Su Chiang "
The Forbidden Kingdom,USA,https://en.hkcinema.ru/foto/32d58c7d.jpg,2008,"fantasy, martial arts, adventure",Rob Minkoff ,"Jackie Chan, Jet Li Lian-Jie, Michael Angarano, Liu Yi-Fei, Li Bing-Bing, Ngai Sing, Alan Ng Siu-Hung, Wang De-Shun, Matthew Tang Hon-Keung "
Ambush,Hong Kong,https://en.hkcinema.ru/foto/37f525aa.jpg,1973,martial arts,Ho Meng-Hua ,"Li Ching, Chiu Hung, Yang Chi-Ching, Wang Hsieh, Dean Shek Tin, Kong Ling, Tung Lam, Chan Shen, Alan Chui Chung-San, Wong Chi-Ming "
Ting Xue Lou,China,https://en.hkcinema.ru/foto/5d2d8ec0aae03.jpg,2018,"historical, martial arts, drama","Yin Tao, Liu Guo-Tong ","Qin Jun-Jie, Crystal Yuan Bing-Yan, Han Cheng-Yu, Yuen Lai-Lam, Lin Yuan, Zhao Dong-Ze, Zhang Tian-Yang, Bai Shu, Li Ruo-Jia, Guo Zhe "
Shy Spirit,Hong Kong,https://en.hkcinema.ru/foto/8c2f6212.jpg,1991,"martial arts, comedy, ghost",Chong Yan-Gin ,"Ngai Sing, Eric Tsang Chi-Wai, Chung Fat, Josephine Foo Lai-Yan, Peter Chan Lung, Dick Wei, Stanley Fung Sui-Fan, Cheung Jing-Yue, Shen Hai-Rong "
Zatoichi and the One-Armed Swordsman,Hong Kong,https://en.hkcinema.ru/foto/4b4bc1d1.jpg,1971,martial arts,"Hsu Tseng-Hung, Yasuda Kimiyoshi ","Katsu Shintaro, Jimmy Wang Yu, Wang Ling, Chang Yu, Hama Yuko, Kagawa Masato "
The Blind Hero Fighting Evil Wolf,Taiwan,https://en.hkcinema.ru/foto/c7c98834.jpg,1972,martial arts,Lee Ying ,"Sing Lung, Tien Yeh, Lui Ming, Chen Yun-Ching, Hau Yee, Hon Siu, Ku Kwan, Tong Chi-Wai, Chiang Ching-Hsia, Got Siu-Bo, Fai Wan, Chiu Keung "
Clutch of Power,Hong Kong,https://en.hkcinema.ru/foto/32e00252.jpg,1977,martial arts,Chang Peng-I ,"Chan Sing, Leung Kar-Yan, Phillip Ko Fei, Doris Lung Chun-Erh, Wong Goon-Hung, Mang Fei, Yen Shi-Kwan, Li Li-Li, Liu Ping "
The Enchanted Chamber,Hong Kong,https://en.hkcinema.ru/foto/b5399c65.jpg,1968,"martial arts, fantasy",Sit Kwan ,"Margaret Hsing Hui, Chin Feng, Lily Li Li-Li, Lee Kwan, Ku Wen-Chung, Pang Pang, Tung Li, Chiu Sam-Yin, Fang Mian, Hoh Ban "
Xian Jian Fu Mo: Qian Nu Xuan Ji,China,https://en.hkcinema.ru/foto/5bf7da3be2e0e.jpg,2018,"romance, martial arts, fantasy",Wu Tong ,"Huang Yi-Rong, Yu Li, Chen Sheng-Wei, Ma Yong-Kang, Li Tao, Wu Yue, Peng Chong, Mei Dong-Hai, Ma De-Ru, Jin Zi-Yan, Ma Jia-Jun "
The Lady Protector and the Knight with the Whip,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1949,martial arts,Yam Pang-Nin ,"Kwan Tak-Hing, Wu Lai-Chu, Yiu Ping, Wong San, Ku Ji-Chau, Lee Dan-Mei "
"The Star, the Rogue & the Kung Fu Kid",Hong Kong,https://en.hkcinema.ru/foto/c0e62eca.jpg,1980,martial arts,To Man-Bo ,"Michelle Yim, Bruce Leung Siu-Lung, Wang Lai, Tony Leung Siu-Hung, Lam Yeung-Yeung, Addy Sung Gam-Loi, Ku Feng, Kwan Chung, Lee Ka-Ting "
Kung Fu Stars,Hong Kong,https://en.hkcinema.ru/foto/54155bb0a71ce.jpg,1978,martial arts,Law Kei ,"Wilson Tong Wai-Shing, Betty Ting Pei, Fung Hak-On, Kitty Meng Chui, Tang Ti, Eric Tsang Chi-Wai, Nick Cheung Lik, Hon Kwok-Choi "
SPL,Hong Kong,https://en.hkcinema.ru/foto/97805d67.jpg,2005,"action, martial arts, thriller",Wilson Yip Wai-Shun ,"Donnie Yen Ji-Dan, Simon Yam Tat-Wah, Sammo Hung Kam-Bo, Jacky Wu Jing, Danny Summer, Ken Cheung Chi-Yiu, Liu Kai-Chi, Austin Wai Tin-Chi "
SPL 2: A Time of Consequences,Hong Kong,https://en.hkcinema.ru/foto/55f1d93041439.jpg,2015,"action, martial arts, drama, thriller",Soi Cheang Pou-Soi ,"Tony Jaa, Jacky Wu Jing, Louis Koo Tin-Lok, John Zhang Jin, Simon Yam Tat-Wah, BabyJohn Choi Hon-Yik, Ken Lo Wai-Kwong, Jun Kung Shek-Leung "
Ringing Sword,Taiwan,https://en.hkcinema.ru/foto/5622876caa4bf.jpg,1969,martial arts,Kim Lung ,"Kong Ban, Fan Ling, Ko Yu-Min, Law Bun, Han Chiang, Siu Bo, Gam Lee, Chin Tu, Wong Jun, Cheung Ching-Fung, Chen Hui-Mei "
Green Snake,Hong Kong,https://en.hkcinema.ru/foto/4ade4f43.jpg,1993,martial arts,Tsui Hark ,"Joey Wong Cho-Yin, Maggie Cheung Man-Yuk, Vincent Zhao Wen-Zhuo, Wu Hsing-Guo, Lau Kong, Tien Feng, Ma Jing-Wu, Chan Dung-Mooi "
Green-Eyed Demon,Hong Kong,https://en.hkcinema.ru/foto/6832f5a2.jpg,1967,martial arts,Chan Lit-Ban ,"Suet Nei, Kenneth Tsang Kong, Tam Sin-Hung, Sek Kin, Ko Lo-Chuen, Sze-Ma Wah-Lung, Yue Ming, Simon Yuen Siu-Tin, Aai Dung-Gwa "
Strike Back,China,https://en.hkcinema.ru/foto/58222fef8c1c1.jpg,2014,martial arts,Liu Xin-Yi ,"Yang Jun-Cheng, Geng Yi, Zhang De-Hui, Yan Jie, Sun Wei-Dong, Yin Hai-Long, Teng Qiang, Jia Hong, Gu Wen-Fei, Yang Liu "
Qi Mian Shou Yang Zhi,China,https://en.hkcinema.ru/foto/5713e49fe559d.jpg,2006,"drama, martial arts",Zhang Jian-Ya ,"Ray Lui Leung-Wai, Jessey Meng Guang-Mei, Ji Chun-Hua, Ma Jing-Wu, Wei Zong-Wan, Zhang Shi-Hui, Li Zhen-Qi "
The Green Hornet,Hong Kong,https://en.hkcinema.ru/foto/edfd1000.jpg,1994,martial arts,Lam Ching-Ying ,"Chin Ka-Lok, Lam Ching-Ying, Esther Kwan Wing-Hoh, Yu Rong-Guang, Lam Fai-Wong, Lau Ying-Kei, Nam Wai, Hsiao Ho "
Zen Kwun Do Strikes in Paris,Taiwan,https://en.hkcinema.ru/foto/cf2c361c.jpg,1981,martial arts,John Liu Chung-Liang ,"John Liu Chung-Liang, Cheng Bik-Lin, Alan Chui Chung-San, K. G. Young Kwok-Kei, Tino Wong Cheung, Dan Schwarz, Roger Paschy, Wong Chi-Ming "
Devil's Mirror,Taiwan,https://en.hkcinema.ru/foto/562cdf4e76f81.jpg,1970,martial arts,Chin Sheng-En ,"Chiang Ching, Richard Chan Chun, Tung Lam, Liu Ching, Tin Ming, Cho Boot-Lam, Yen Chung, Chin Li-Sheng, Siu Gwong-Po, Wong Cheung "
Golden-Headed Eagle,Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1970,martial arts,Li Kuan-Chang ,"Li Hsuan, Chiang Ming, Shan Mao, Wu Min-Hsiung, Ting Chiang, Yeh Mao, Lam Yau-Chuen, Fai Wan, Lam Ching-Muk, Lui Yau-Ting, Feng Chun-Ping "
Evil Hits Evil,Taiwan,https://en.hkcinema.ru/foto/5627fcdd41403.jpg,1983,"martial arts, fantasy",,"Chan Sing, Alan Lau Tak-Hoi, Doris Lung Chun-Erh, Kwan Yung-Moon, Peng Kong, Yeung Hung, Hung Tiu, Sha Lee-Man, Cheung Ching-Fung "
The Evil Snake Girl,Hong Kong,https://en.hkcinema.ru/foto/73649c3e.jpg,1974,martial arts,Yu Chik-Lim ,"Tung Li, Rosemarie Gil, Someno Yukio, Yau Ming, Lito Legaspi, Johanna Garcia, Brandy Yuen Jan-Yeung, Corey Yuen Kwai, Yuen Bun, Robert Chan Law-Bat "
The Gloomy Tower,Taiwan,https://en.hkcinema.ru/foto/362cecbe.jpg,1977,martial arts,"David Lin Ta-Chao, Chiang Nan ","Kitty Meng Chui, Lung Fei, Mark Lung Koon-Mo, Pai Ying, Chiang Nan, Liu Ping, Tung Li, Chen Pei-Ling, Chuen Yuen, Wong Goon-Hung "
Chinese Evil Technique,Taiwan,https://en.hkcinema.ru/foto/c3d7186a.jpg,1985,"martial arts, fantasy",Yu Han-Hsiang ,"Cliff Ching Ching, Yau Kwok-Tung, Suen Lam, Ko Keung, Shih Szu, Su Chu, Chang Yi-Tao, Chiang Tao "
Evil Deeds in Kaifeng,China,https://en.hkcinema.ru/foto/5bab59f000bb8.jpg,2018,"action, fantasy, martial arts",Liu Xuan-Di ,"Lin Feng-Ye, Cao Guo-Tao, Wang Jia-Xi, Teng Yi, Xiong Yu-Quan, Li Tong, Sun Ying, Xu Wei-Qi, Zhang Yu-Feng, Sun Hai-Yang, Ma De-Ru "
Ninja Evil Strike,Hong Kong,https://en.hkcinema.ru/foto/6b9f0ab6.jpg,1989,martial arts,,"Sharon Yeung Pan-Pan, Lau Chin-Dai, Yip San, Yeung Sing, Anthony Wong Chau-Sang, Woh Seung "
The Evil Karate,Taiwan,https://en.hkcinema.ru/foto/8b8ac642.jpg,1971,martial arts,Joseph Kuo Nan-Hong ,"Cheung Ching-Ching, Ko Yu-Min, Chiang Ching-Hsia, Chiang Tao, Su Chen-Ping, Tsai Hung, Chiang Nan, Lai Te-Nan, Yuen Sam, Su Chin-Lung "
The Killer Snakes,Hong Kong,https://en.hkcinema.ru/foto/5cac8a7b.jpg,1974,martial arts,Kuei Chih-Hung ,"Kam Kwok-Leung, Maggie Li Lin-Lin, Richard Chan Chun, Helen Ko Ti-Hua, Wong Ching-Ho, Lam Fung, Li Min-Lang, Terry Lau Wai-Yue "
Snake Fist of a Buddhist Dragon,South Korea,https://en.hkcinema.ru/foto/44217e69.jpg,1979,martial arts,,Lee Joi-Wing 
The Dragon's Snake Fist,South Korea,https://en.hkcinema.ru/foto/f8683f3b.jpg,1981,martial arts,"Godfrey Ho Jeung-Keung, Kim Si-Hyeon ","Dragon Lee, Yuen Qiu, Martin Chui Man-Kwai, Kim Ki-Ju, Seo Jeong-Ah, Chang Yi-Tao, Lee Ye-Min, Kim Ki-Bum, Baek Hwang-Ki, Han Tae-Il, Choi Hyeong-Keun "
Snaky Knight Fight Against Mantis,Hong Kong,https://en.hkcinema.ru/foto/5825bed8d0e9d.jpg,1978,"martial arts, comedy",Chang Hsin-Yi ,"Don Wong Tao, Ha Ling-Ling, Carter Wong Ka-Tat, Chan Sing, Lee Kwan, Lung Fei, Hsieh Hsing, Alan Chui Chung-San, Weng Hsiao-Hu "
Snake in the Monkey's Shadow,Hong Kong,https://en.hkcinema.ru/foto/007e8708.jpg,1979,"martial arts, comedy",Cheung Sum ,"John Cheung Ng-Long, Pomson Shi, Wilson Tong Wai-Shing, Hau Chiu-Sing, Charlie Chan Yiu-Lam, Wan Fat, King Lee King-Chu, Leung Hung "
Snake in the Eagle's Shadow,Hong Kong,https://en.hkcinema.ru/foto/0c01617e.jpg,1978,martial arts,Yuen Wo-Ping ,"Jackie Chan, Simon Yuen Siu-Tin, Hwang Jang-Lee, Dean Shek Tin, Peter Chan Lung, Roy Horan, Hsu Hsia, Tino Wong Cheung, Fung Hak-On, Charlie Chan Yiu-Lam "
The Snake Strikes Back,South Korea,https://en.hkcinema.ru/foto/84db1e34.jpg,1982,martial arts,Godfrey Ho Jeung-Keung ,"Elton Chong, Eagle Han Ying, Mike Wong Lung, Samuel Fong, Thomson Man, Kim Ki-Ju, Kim Myeong-Ah, Kim Wuk, Park Jong-Kuk, Jang Cheol, Choi Hyeong-Keun "
Mark of the Eagle,Hong Kong,https://en.hkcinema.ru/foto/e38e977b.jpg,1981,martial arts,Chor Yuen ,"Ti Lung, Alexander Fu Sheng "
The Notorious Bandit,Taiwan,https://en.hkcinema.ru/foto/eb8ebec7.jpg,1974,martial arts,Tien Peng ,"Tien Peng, Tin Hok, Yee Yuen, Poon Cheung-Ming, Wong Wing-Sang, Shut Chung-Tin, Chen Hung-Lieh, Hsieh Han, Liu Chik, Shan Mao, Hong Hoi "
Famous Swordsman Tin Kiu,Hong Kong,https://en.hkcinema.ru/foto/a0189810.jpg,1969,martial arts,"Siu Sang, Law Kei ","Maggie Li Lin-Lin, Kenneth Tsang Kong, Chan Tsai-Chung, Paul Chun Pui, Sum Chi-Wah, Stanley Fung Sui-Fan, Sze-Ma Wah-Lung, Lok Gung "
Badges of Fury,Hong Kong,https://en.hkcinema.ru/foto/2326271f.jpg,2013,"martial arts, comedy, thriller",Wang Zi-Ming ,"Wen Zhang, Jet Li Lian-Jie, Ada Liu Yan, Bruce Leung Siu-Lung, Jacky Wu Jing, Kevin Cheng Ka-Wing, Leung Kar-Yan, Michael Tse Tin-Wah "
Call of Heroes,Hong Kong,https://en.hkcinema.ru/foto/58389e21cb637.jpg,2016,"historical, martial arts, action, drama, comedy",Benny Chan Muk-Sing ,"Lau Ching-Wan, Louis Koo Tin-Lok, Yolanda Yuan Quan, Eddie Peng Yu-Yen, Maggie Jiang Shu-Ying, Liu Kai-Chi, Jacky Wu Jing, Xing Yu "
Call Him Mr. Shatter,Hong Kong,https://en.hkcinema.ru/foto/941d1fe9.jpg,1974,martial arts,"Michael Carreras, Monte Hellman ","Stuart Whitman, Ti Lung, Lily Li Li-Li, Peter Cushing, Anton Diffring, Ko Hung, Keung Hon, James Ma Chim-Si, Lee Hoi-Sang, Lau Nga-Ying "
Call Me Dragon,Hong Kong,https://en.hkcinema.ru/foto/3f213734.jpg,1974,martial arts,Ng See-Yuen ,"Bruce Leung Siu-Lung, Kurata Yasuaki, Wong Wan-Si, Chiang Nan, Hon Kwok-Choi, Mang Hoi, Dean Shek Tin, Suen Lam, K. K. Wong Kin-Kwan "
Just Call Me Nobody,China,https://en.hkcinema.ru/foto/827b4328.jpg,2010,"martial arts, comedy",Kevin Chu Yen-Ping ,"Xiao Shen-Yang, Kelly Lin Hsi-Lei, Norman Chu Siu-Keung, Tien Niu, Zhao Ben-Shan, Cheng Ye, Eric Tsang Chi-Wai, Banny Chen Zhi-Pen "
"Golden Hairpin, The (Part 1)",Hong Kong,https://en.hkcinema.ru/foto/aab43a43.jpg,1963,martial arts,Chan Lit-Ban ,"Yu So-Chau, Cheung Ying-Tsoi, Chan Ho-Kau, Suet Nei, Sek Kin, Ling Mung, Lam Kau, Ku Wen-Chung, Lok Gung, Choi Yim-Heung, Lee Pang-Fei "
"Golden Hairpin, The (Part 2)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1963,martial arts,Chan Lit-Ban ,"Cheung Ying-Tsoi, Chan Ho-Kau, Connie Chan Po-Chu, Sek Kin, Sze-Ma Wah-Lung, Fung Ngai, Lam Kau, Ko Lo-Chuen, Chow Gat, Ling Mung "
"Golden Hairpin, The (Part 3)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1964,martial arts,Chan Lit-Ban ,"Cheung Ying-Tsoi, Suet Nei, Yu So-Chau, Chan Ho-Kau, Connie Chan Po-Chu, Sek Kin, Ling Mung, Lau Hak-Suen, Fung Ngai, Ng Tung "
"Golden Hairpin, The (Final Episode)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1964,martial arts,Chan Lit-Ban ,"Cheung Ying-Tsoi, Chan Ho-Kau, Connie Chan Po-Chu, Suet Nei, Sek Kin, Cheng Kwun-Min, Lau Hak-Suen, Ng Tung, Kwan Hoi-San, Fung Ngai "
The Golden Cat,Hong Kong,https://en.hkcinema.ru/foto/a6e125eb.jpg,1961,martial arts,Lung To ,"Yam Kim-Fai, Law Yim-Hing, Lee Heung-Kam, Yam Bing-Yee, Lau Hak-Suen, Hui Ying-Sau, Cheng Kwun-Min, Cheung Sang, Siu Gam "
Golden Swallow,Hong Kong,https://en.hkcinema.ru/foto/b0926872.jpg,1968,martial arts,Chang Cheh ,"Jimmy Wang Yu, Lo Lieh, Cheng Pei-Pei, Wu Ma, Chiu Sam-Yin, Yang Chi-Ching, Bai Yu, Wang Kuang-Yu, Wong Ching, Wong Ching-Wan "
The Golden Bat,Hong Kong,https://en.hkcinema.ru/foto/6c1a6d67.jpg,1966,martial arts,Chiang Wai-Kwong ,"Cheung Ying-Tsoi, So Ching, Josephine Siao Fong-Fong, Sek Kin, Ng Chin-Fung, Tang Ti, Siu Chung-Kwan, Lee Sau-Kei, Ling Mung "
Return of the Golden Bat,Hong Kong,https://en.hkcinema.ru/foto/69cc041f.jpg,1966,martial arts,Chiang Wai-Kwong ,"Cheung Ying-Tsoi, So Ching, Josephine Siao Fong-Fong, Sek Kin, Ng Chin-Fung, Tang Ti, Lok Gung, Ko Lo-Chuen, Ling Mung "
The Golden Mask,Taiwan,https://en.hkcinema.ru/foto/4a860a55.jpg,1977,martial arts,Ting Chung ,"Chi Kuan-Chun, Wong Goon-Hung, Doris Lung Chun-Erh, Stephen Tung Wai, Wong Chi-Sang, Woo Hon-Cheung, Ga Hoi, Pui Tak-Wan, Wu Kuang "
"Golden Coat, The (Part 1)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1963,martial arts,Miu Hong-Nee ,"Walter Tso Tat-Wah, Yu So-Chau, Chan Ho-Kau, Connie Chan Po-Chu, Josephine Siao Fong-Fong, Cheung Sang, Ng Yan-Chi, Ling Mung "
"Golden Coat, The (Part 2)",Hong Kong,https://en.hkcinema.ru/foto/5a58532a.jpg,1963,martial arts,Miu Hong-Nee ,"Walter Tso Tat-Wah, Yu So-Chau, Chan Ho-Kau, Connie Chan Po-Chu, Josephine Siao Fong-Fong, Yung Yuk-Yi, Tam Tin, Cheung Sang, Lee Siu Dip "
The Golden Seal,Hong Kong,https://en.hkcinema.ru/foto/67e79c95.jpg,1971,martial arts,Tien Feng ,"Chung Wah, Wang Ping, Ku Feng, Yue Fung, Pai Lu, Chan Shen, Wong Ching-Ho, Cliff Lok, Teresa Ha Ping, Huang Chung-Hsin, Tien Feng "
The Golden Sabre,Taiwan,https://en.hkcinema.ru/foto/5129ac4b.jpg,1970,martial arts,Hou Cheng ,"Wong Yung, Tanny Tien Ni, Ou Wei, Wong Yu, Feng Hai, Han Chiang, Wong Jun, Chiang Feng-Shu, Cheung Ching-Fung, Yeung Fui-Yuk "
The Golden Arrow,Hong Kong,https://en.hkcinema.ru/foto/5baacfed.jpg,1963,martial arts,Lo Wei ,"Jeanette Lin Tsui, Tin Ching, Hung Yeung, Lo Wei, Chu Mu, Lui Tat, Liu Liang-Hua, Liu En-Jia, Wu Chia-Hsiang, Hung Mei "
The Golden Cup and the Wandering Dragon,Hong Kong,https://en.hkcinema.ru/foto/c3415dc7.jpg,1966,martial arts,Chan Lit-Ban ,"Connie Chan Po-Chu, Cheung Ching, Law Oi-Seung, Kong Man-Sing, Sek Kin, Gu Sam-Lam, Suet Nei, Lee Ying, Lee Kui-On, Sai Gwa-Pau "
"The Golden Cup, the Wandering Dragon and the Decree to Kill",Hong Kong,https://en.hkcinema.ru/foto/dbed5e95.jpg,1966,martial arts,Chan Lit-Ban ,"Connie Chan Po-Chu, Cheung Ching, Lee Kui-On, Sek Kin, Gu Sam-Lam, Suet Nei, Ling Mung, Bonnie Wong Man-Wai, Kenneth Tsang Kong "
Golden Ninja Warrior,Taiwan,https://en.hkcinema.ru/foto/44d60706.jpg,1985,"martial arts, adult",,"Yeung Huei-Chie, Lee Miu-Chan, Tin Ming, Bai Ruo-Lan, Tang Chia-Chuan, Jonse Yu Ming-Ren, Richard Harrison, Phillip Ko Fei, Woo Dik "
"Golden Dragon, Silver Snake",South Korea,https://en.hkcinema.ru/foto/561cf8187700f.jpg,1980,martial arts,"Godfrey Ho Jeung-Keung, Kim Si-Hyeon ","Johnny Chan, Dragon Lee, Lee Yeong-ju, Marilyn Lee, Patrick Reynolds, Chiang Tao, Ma Do-Sik, Malcolm Levi, Martin Chui Man-Kwai, Nick Cheung Lik "
The Golden Key,Hong Kong,https://en.hkcinema.ru/foto/fcc61067.jpg,1978,martial arts,Teddy Yip Wing-Cho ,"Alan Tang Kwong-Wing, Meg Lam Kin-Ming, Tang Ching, Sombat Metanee, Nick Lam Wai-Kei, Chin Yuet-Sang, Billy Chan Wui-Ngai, Che Dei "
"Gold Convoyers, The: Supernal Canon",China,https://en.hkcinema.ru/foto/5d79faf2de34c.jpg,2007,"action, historical, martial arts, adventure",Billy Tang Hin-Shing ,"Duncan Lai, Immi Wu Xiao-Min, David Chiang Da-Wei, Zou Jun-Bai, Ken Cheung Chi-Yiu, Teddy Lin Wai-Kin, Johnny Zhao Qiang, Jasmin Cao Yan "
"Gold Convoyers, The: The Bodyguards",China,https://en.hkcinema.ru/foto/5d79fc6331a26.jpg,2007,"action, martial arts, historical, adventure, mystery",Billy Tang Hin-Shing ,"Duncan Lai, Immi Wu Xiao-Min, David Chiang Da-Wei, Zou Jun-Bai, Ki Kei-Lun, Wang Gang, Chan Ping "
"Gold Convoyers, The: The Big Courtyard",China,https://en.hkcinema.ru/foto/5d79ffde6bafa.jpg,2007,"action, martial arts, historical, adventure",Zhou Wei ,"Duncan Lai, Immi Wu Xiao-Min, David Chiang Da-Wei, Zou Jun-Bai, Bai Han, Zheng Ping, Austin Sui Ming-Yang, Zhou Zhong-He, Hu An, Chen Pan-Jing "
"Gold Convoyers, The: Forgotten Luck Everything Upside Down",China,https://en.hkcinema.ru/foto/5d79fe247e5d7.jpg,2007,"action, historical, martial arts, adventure, mystery","Billy Tang Hin-Shing, Li Hou-Cai ","David Chiang Da-Wei, Ken Cheung Chi-Yiu, Immi Wu Xiao-Min, Duncan Lai, Wang Jian-Xin, Ji Chun-Hua, Zou Shuang "
"Gold Convoyers, The: Peony Pavillion",China,https://en.hkcinema.ru/foto/5d79f6ddd77cb.jpg,2007,"action, martial arts, historical, adventure",Zhou Wei ,"Duncan Lai, Immi Wu Xiao-Min, Zou Jun-Bai, Chi Hua-Qiong, Ken Cheung Chi-Yiu, Zhao Li-Ying, Cheng Si-Han, Chen Ji-Ming, Chi Guo-Dong "
