country,director,genre,poster,release_year,starring,title
Hong Kong,Tsui Siu-Ming ,martial arts,https://en.hkcinema.ru/foto/8bb8dd1e.jpg,1987,"Yu Rong-Guang, Tsui Siu-Ming, Pasha Romani, Connie Khan, Fan Dung-Yue, Wang Hua, Dion Lam Dik-On, Yee Tin-Hung, Cho Wing, Ng Git-Keung ",Mirage
China,Song Yang ,"martial arts, fantasy, comedy",https://en.hkcinema.ru/foto/5bb46e0d83fbf.jpg,2017,"Sean Zhang Liang, Bai Ke, Chen Du-Ling, Wu You, Lu Qi-Wei, Li Chao, Liu Xiang-Jing, Davis Ma Qi-Guang, Cao Yan-Yan, Zheng Tang-Yuan, Hu Shan-Shan ",Myth of Sword
Hong Kong,Joseph Kuo Nan-Hong ,martial arts,https://en.hkcinema.ru/foto/cde22efd.jpg,1971,"Ivy Ling Po, Liu Ping, Ling Yun, Kao Ming, Lung Fei, Hsieh Hsing, Chang Yi-Kuai, Shao Lo-Hui, Yuen Sam, Chen Yu-Hsin ",The Mighty One
Hong Kong,Ling Yun ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1965,"Walter Tso Tat-Wah, Yu So-Chau, Yu Kai, Tam Sin-Hung, James Yi Lui, Ho King-Fan, Luk King-Hung, Yung Yuk-Yi, Sze-Ma Wah-Lung, Ling Mung ","Powerful Sword, Magical Flute (Part 1)"
Hong Kong,Wong Wa-Kei ,"martial arts, comedy",https://en.hkcinema.ru/foto/f168b597.jpg,1978,"Lau Dan, Meg Lam Kin-Ming, Hon Kwok-Choi, Chan Bo-Yeung, Rosalind Chan Yee-Hing, Lau Yat-Fan, Addy Sung Gam-Loi, Hon Yee-Sang, Wong San ",My Kung Fu Master
Hong Kong,Jackie Chan ,"martial arts, comedy",https://en.hkcinema.ru/foto/bc26a0b4.jpg,1980,"Jackie Chan, Tien Feng, Yuen Biao, Wai Pak, Whang In-Shik, Lee Hoi-Sang, Lily Li Li-Li, Fan Mei-Sheng, Sek Kin, Benny Lai Keung-Kuen ",The Young Master
China,Wuershan ,"martial arts, comedy",https://en.hkcinema.ru/foto/b12cfa57.jpg,2011,"Kitty Zhang Yuqi, Liu Xiao-Ye, Swanson Han Peng-Yi, Dong Li-Fan, Ricky Gao Lei, Liu Xu, Seng-Ge Ren-Qin, An Yun-Cheng, Ando Masanobu ","The Butcher, the Chef and the Swordsman"
China,Yang Dong-Liang ,"martial arts, drama",https://en.hkcinema.ru/foto/5c5013df3e85a.jpg,2019,"Ma Yu-Jie, Zhang Ben-Yu, He Cong-Rui, Huang Kai-Xiang, Fay Denise Ye Yun-Fei, Huang Qi-Meng, Lv Feng, Michael Mao Fan, Wang Pu ",Back To Nowhere
Hong Kong,Chang Cheh ,"martial arts, musical, fantasy",https://en.hkcinema.ru/foto/26826626.jpg,1980,"Li Yi-Min, Lin Chen-Chi, Alexander Fu Sheng, Jenny Tseng, Johnny Wang Lung-Wei, David Chiang Da-Wei, Ku Kuan-Chung, Lo Meng, Lu Feng ",Heaven and Hell
Hong Kong,Wong Tin-Lam ,martial arts,https://en.hkcinema.ru/foto/5880c8a3.jpg,1957,"Xiao Wen, Wong Ying, Wang Wei, Shi An, Lui Hung, Sou Sou, Wong Ching-Ho ",Invisible Female Knight
Hong Kong,To Man-Bo ,martial arts,https://en.hkcinema.ru/foto/cb23f4e8.jpg,1979,"Bruce Leung Siu-Lung, Hon Kwok-Choi, Ku Feng, Bolo Yeung Sze, Chiang Cheng, To Siu-Ming, Chan Lau, Lau Lei, Lam Hak-Ming ",Invincible Kung Fu
Taiwan,Sun Yung ,martial arts,https://en.hkcinema.ru/foto/afabc7df.jpg,1973,"Yang Yang, Hong Hoi, Yee Yuen, Fan Ling, Yee Hung, Ng Tung-Kiu, Shan Mao, Tien Yeh, Yen Chung, Fai Wan, Ngai Yat-Ping, Tang Chia-Chuan ",The Undaunted
Taiwan,Chen Ming-Hua ,martial arts,https://en.hkcinema.ru/foto/66d22234.jpg,1977,"Pearl Cheung Ling, Yueh Hua, Chung Wah, Lo Lieh, Cliff Lok, Chiang Ming, Fan Ling, Fang Mian, Hsieh Han, Lee Keung, Weng Hsiao-Hu ",The Invincible Swordswoman
Hong Kong,Ng Tan ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1965,"Yu So-Chau, Sze-Ma Wah-Lung, Connie Chan Po-Chu, Lau Ching, Lee Ying, Lee Hung, Tang Ti, Cheung Ying-Tsoi, Wah Wan-Fung ","Invincible Book from Heaven, The (Part 1)"
Hong Kong,Cheng Kang ,martial arts,https://en.hkcinema.ru/foto/e1e6de6a.jpg,1979,"Lau Wing, Fan Lei, Wong Yung, Chen Kuan-Tai, Helen Poon Bing-Seung, Lam Fai-Wong, Si Wai, Ngaai Fei, Chan Shen, Lun Ga-Chun ",Invincible Enforcer
China,Luo Le ,"action, fantasy, martial arts",https://en.hkcinema.ru/foto/5d0204d19b17b.png,2019,"Xie Miao, Chin Siu-Ho, Han Xin, Li Xian-Shi, Fan Zi-Qi, Zhao Ji, Jing Long, Hu Dong-Qing, Wu Li-Hua, Jessica Luk Ying ",Xin Feng Shen Zhi Ne Zha Nao Hai
Taiwan,Lee Ying ,martial arts,https://en.hkcinema.ru/foto/71339a46.jpg,1971,"Yueh Yang, Chiang Fan, Tsui Fu-Sheng, Ma Kei, Hon Siu, Lee Ying, Wong Yu, Wong Jun, Ko Hsiang-Ting, Cho Kin, Kuk Wang ",New ''Lou-Sheng-Men''
Hong Kong,,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1980,"Bruce Leung Siu-Lung, Ku Feng, Hon Kwok-Choi ",Chuk Fung Lin Wan Tui
China,Liu Xin-Yi ,martial arts,https://en.hkcinema.ru/foto/b3625e4b.jpg,2013,"Patrick Tam Yiu-Man, Angela Chen Jia-Jia, Li Cheng-Feng, Yu Hong-Zhou ",Fiery Thunderbolt Qin Ming
Taiwan,Liang Che-Fu ,martial arts,https://en.hkcinema.ru/foto/1451be1e.jpg,1973,"Joan Lin Feng-Chiao, Chu Chiang-Hua, Tin Man-Chung, Cheung Ping, Han Chiang, Shih Ting-Ken, Lai Te-Nan, Kam Kong, Tse Chung-Mau ",The Lone Hero
Hong Kong,Wong Sing-Loy ,martial arts,https://en.hkcinema.ru/foto/a6cf2ca5.jpg,1976,"Bruce Li Shao-Lung, Hsieh Han, Su Chiang, Chen Pei-Zhen, Yam Ho, Wong Gwok-Chue, Woo Kei, Lee Wan-Chung, Hon Siu, Yu Chung-Chiu, Caryn White ",He's a Legend; He's a Hero
Hong Kong,Wong Fung ,martial arts,https://en.hkcinema.ru/foto/7c59ba61.jpg,1973,"Angela Mao Ying, Carter Wong Ka-Tat, Travador Ramos, James Nam Gung-Fan, Lung Fei, Yee Yuen, Cheng Fu-Hung, Shih Ting-Ken, Chan Chuen ",The Opium Trail
Hong Kong,Lau Kar-Wing ,martial arts,https://en.hkcinema.ru/foto/63afde36.jpg,1981,"Alexander Fu Sheng, Gordon Liu Chia-Hui, Cheung Chin-Pang, Johnny Wang Lung-Wei, Lau Kar-Wing, Jackson Ng Yuk-Sue, King Lee King-Chu ",Treasure Hunters
Taiwan,"Chen Hung-Lieh, Steve Chan Ho, Hsieh Hsing ",martial arts,https://en.hkcinema.ru/foto/81dbbfd1.jpg,1979,"Chin Lung, James Tin Chuen, Tsang Ming-Cheong, Chen Hung-Lieh, Violet Pan Ying-Zi, Wong Chi-Sang, Miao Tian, Steve Chan Ho, Tang Keung-Ying ",The Bone Crushing Kid
Hong Kong,Lo Wei ,martial arts,https://en.hkcinema.ru/foto/e85751dd.jpg,1977,"Tina Chin Fei, Michael Chan Wai-Man, Nora Miao Ke-Hsiu, Ho Pak-Kwong, Chiang Kam, Yuen Yat-Choh, Tien Feng, Charlie Chan Yiu-Lam, Tung Lam ",The Kung Fu Kid
Taiwan,Wang Hung-Chang ,martial arts,https://en.hkcinema.ru/foto/e967b8a8.jpg,1971,"Cheung Ching-Ching, Yee Yuen, Shan Mao, Chiang Ming, Lung Fei, Yu Chung-Chiu, Cho Kin, Ma Kei, Wong Fei-Lung, Han Chiang, Pan Chuan-Ling ",The Patriotic Heroine
Hong Kong,Jimmy Wang Yu ,martial arts,https://en.hkcinema.ru/foto/40dc1912.jpg,1973,"Jimmy Wang Yu, Lung Fei, Tien Yeh, Hsieh Han, Shan Mao, Tsai Hung, Kwan Hung, Min Min, Chang Yi-Kuai, Su Chen-Ping, Hsieh Hsing, Wong Wing-Sang ",Beach of the War Gods
Taiwan,Chan San-Yat ,martial arts,https://en.hkcinema.ru/foto/8f2a6e3f.jpg,1979,"Lung Tien-Hsiang, Lee Man-Tai, Tang Chia-Chuan, Pang San, Alice Meyer, Ali Tai, Zhang Chong-Yang, Si Wai, Kiu Lam ",The True Game of Death
Taiwan,Chan Hung-Man ,martial arts,https://en.hkcinema.ru/foto/561abe0db40f4.jpg,1978,"Polly Shang-Kuan Ling-Feng, Lo Lieh, Barry Chan, Wang Hsieh, Lee Kwan, Chiang Ching-Hsia, Weng Hsiao-Hu, Ngai Chi-Wong, Ching Kuo-Chung ",Little Hero
Hong Kong,Wong Fung ,martial arts,https://en.hkcinema.ru/foto/a86be2f7.jpg,1971,"Chang Yu, Ivy Ling Po, Shih Szu, Fang Mian, James Nam Gung-Fan, Ku Feng, Wang Hsieh, James Tin Chuen, Chow Siu-Loi, Little Unicorn, Hung Lau ",The Crimson Charm
Taiwan,Fu Li ,"martial arts, children's",https://en.hkcinema.ru/foto/6d55759b.jpg,2003,"Yin Hsiao-Chun, Ng Man-Tat, Chang Shan-Wei, Chan Chi-Keung, Hsiao Hou-Tao, Wu Xue-Fen, Mao Mao, Liu Guang-Yuan, Chen Kuang-Chien ",Kunfu Kid
Hong Kong,Benny Chan Muk-Sing ,"historical, martial arts",https://en.hkcinema.ru/foto/nofoto.gif,1994,"Donnie Yen Ji-Dan, Anthony Tang Ho-Gwong, Lawrence Yan Chi-Keung, Erica Choi Hiu-Yee, Nick Cheung Ka-Fai, Leung Gam-San, Ben Ng Ngai-Cheung ",The Kung Fu Master
Hong Kong,,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1981,"Ray Lui Leung-Wai, Felix Wong Yat-Wah, Sharon Yeung Pan-Pan, Au-Yeung Pui-San, Kwan Hoi-San, Money Chan Man-Ngai, Lau Dan, Chun Wong ",Kung Fu Master of Fat Shan
China,Derek Yee Tung-Sing ,"martial arts, drama, romance",https://en.hkcinema.ru/foto/56e6faa700711.jpg,2016,"Kenny Lin Geng-Xin, Peter Ho Yun-Tung, Jiang Meng-Jie, Jiang Yi-Yan, Gu Cao-Bin, Ma Jing-Jing, Norman Chu Siu-Keung, Ng Yuen-Jun, Lin Zhao-Xu ",Sword Master
Hong Kong,"Taylor Wong Tai-Loi, Ng Kiu-Yi, Virginia Lok Yee-Ling, Lai Maan-Shing ","martial arts, fantasy",https://en.hkcinema.ru/foto/818aaf62.jpg,1981,"Alex Man Chi-Leung, Amy Chan Sau-Man, Leslie Cheung Kwok-Wing, Law Lok-Lam, Paul Chun Pui, Yeung Chak-Lam, Lam Gwok-Hung, Max Mok Siu-Chung ",Tai Chi Master 2
Taiwan,Wang Hung-Chang ,martial arts,https://en.hkcinema.ru/foto/9b81d316.jpg,1980,"Blacky Ko Sau-Leung, Casanova Wong, Phillip Ko Fei, Chan Lau, Bolo Yeung Sze, Tung Lam, Chiang Kam, Cheung Sek-Aau, Sham Chin-Bo ",Master Killers
South Korea,"Godfrey Ho Jeung-Keung, Gang Beom-gu ","martial arts, comedy",https://en.hkcinema.ru/foto/8a15398e.jpg,1982,"Johnny Chan, Bruce Cheung Mong, Eagle Han Ying, Judy Lee, Kwon Sung-Young ",Revenge of Drunken Master
Hong Kong,Lo Wei ,martial arts,https://en.hkcinema.ru/foto/596ce35c.jpg,1976,"Jimmy Wang Yu, Jackie Chan, Lee Man-Tai, Ma Cheung, Mai Kei, Phillip Ko Fei, Wong Yeuk-Ping, Woo Wai, Henry Luk Yat-Lung, Lee Keung ",The Killer Meteors
South Korea,"Suen A-Foo, Gwon Yeong-sun ",martial arts,https://en.hkcinema.ru/foto/d77a147d.jpg,1969,"Chang Yang, Park Nou-Sik, Man Sam, Chin Hui-Ching, Pai Yung-Min, Bai Ching-Chu, Liang Yu-Hsia, Yang Hun, Kim Hea-kyung, Lee Lung ",Two Dragons-Sword
Hong Kong,Wong Hok-Sing ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1961,"Law Kim-Long, Law Yim-Hing, So Siu-Tong, Tam Sin-Hung, Chan Ho-Kau, Siu Chung-Kwan, Lee Heung-Kam, Hui Ying-Ying, Chan Seng-Tong, Chan Lap-Ban ",Green Dragon Sword
Hong Kong,Chan Lit-Ban ,martial arts,https://en.hkcinema.ru/foto/28eedb26.jpg,1969,"Josephine Siao Fong-Fong, Kenneth Tsang Kong, Sek Kin, Sum Chi-Wah, Lai Man, Yeung Yip-Wang, Yung Yuk-Yi, Ling Mung, Chow Gat ",Sword of Emei
Hong Kong,Chor Yuen ,martial arts,https://en.hkcinema.ru/foto/d0f97e78.jpg,1978,"Derek Yee Tung-Sing, Candice Yu On-On, Ching Li, Wang Lai, Ku Kuan-Chung, Candy Wen Xue-Er, Lo Lieh, Ng Man-Tat, Norman Chu Siu-Keung ",Heaven Sword and Dragon Sabre
Taiwan,Hui Sing-Yue ,martial arts,https://en.hkcinema.ru/foto/d54d74b7.jpg,1980,"Liu Shan-Chian, Yau Pang-Sang, Lucia Cheung Siu-Lan, Ma Chin-Ku, Ching Pang, Cheung Pang-Ching, Lo Dik, Wang Chong-Yong, Chong Ling, Chiang Hsiao-Feng ",The Sword of Justice
Taiwan,"Yang Tao, Wong Cheuk-Hon ",martial arts,https://en.hkcinema.ru/foto/357c40ee.jpg,1968,"Wu Chia-Chi, Ting Ying, Niu Fang-Yu, Tien Yeh, Chang Ping-Yu, Chow Siu-Hing, Sha Lee-Man, Ngai Loi, Ng Kwan, Yang Wei-Hsi, Woo Hon-Cheung ",The Swordsman
Hong Kong,"Chow Sze-Luk, Ku Wen-Chung ",martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1949,"Walter Tso Tat-Wah, Lau Hak-Suen, Law Yim-Hing, Ho Siu-Hung, Chui Ji-Chiu, Lau Kwai-Hong, Lee Yuet-Ching, Sek Kin ",Swordsman of Shu Mountain
Taiwan,Hou Cheng ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1971,"Cheung Ching-Ching, Lee Yan-Wa, Suen Liu, Sek Fung, Chen Hung-Lieh, Hou Hsiao-Ti, Li Yi-Min, Ku Kwan, Tao Shu, Chang Feng, Chen Kuo-Chun ",The Scholar Swordsman
Hong Kong,Wong Hok-Sing ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1960,"Walter Tso Tat-Wah, Law Yim-Hing, Lam Ka-Sing, Chan Ho-Kau ",Swordsmen of Mount Win Tai
Hong Kong,Chui Wing-Fook ,"martial arts, romance",https://en.hkcinema.ru/foto/nofoto.gif,1972,"Paul Chun Pui, Sun Ling-Ling, Kenneth Tsang Kong, Liu Yi-Ming, Hsu Fu-Ren, Nakajima Kazuo, Tang Chia-Chuan ",Flash Boxer
China,Zhang Yan-Chen ,"comedy, action, romance, historical, martial arts",https://en.hkcinema.ru/foto/5b87bfdfabbbf.jpg,2018,"He Wei, Wu Di, Huang Shi-Jia, Wang Hai-Yang, Ha Song, Zhang Yuan-Zhou, Kiray Wang Xin-Yao, Bai Zi-Yu, Zhao Si-Mei, Huang Yi-Long, Feng Pu ",Fei Hong Xiao Chuan Zhi Po Jian
Taiwan,Fang Yao-Te ,"martial arts, comedy, children's",https://en.hkcinema.ru/foto/d98430be.jpg,1991,"Ku Feng, Chui Suk-Woon, Wong Chung-Yue, On On, Lu Kai-Yi, Chen Cheng-Yong, Chang Bo-Hsiang, Chou Hong-Chie ",Young Soldiers
Hong Kong,Pao Hsueh-Li ,martial arts,https://en.hkcinema.ru/foto/b5ecb6ae.jpg,1980,"Ti Lung, Dorian Tan Tao-Liang, Shih Szu, Hsu Feng, Wong Ching, Ling Yun, Shih Ting-Ken, Tung Lam, Chan Bik-Fung, Liu Wai, Cho Boon-Feng ",The Revenger
Philippines,,martial arts,https://en.hkcinema.ru/foto/8c21311e.jpg,1984,Bruce Le ,Bruce's Fist of Vengeance
China,Song Long-Long ,"martial arts, action",https://en.hkcinema.ru/foto/56d6d6dd86b53.jpg,2015,"Li Bai-Yi, Sun Jia-Qi, Guo Yun-Qi, Shi Jing-Yi, Sienna Li Xin-Yue, Wang Shuo, Lauren Hsu, Wang Xiao-Gang, Yang Mo, Han Zhen-Guo, Liu Kai ",Ultimate Teacher 2
China,Wang Qi-Heng ,"action, romance, fantasy, martial arts",https://en.hkcinema.ru/foto/5bfb90ae74a00.jpg,2018,"Zhou Lu, Shang Si-Qi, Zhang Jian-Dong, Wang Yi-Chun, Li Jie-Hao, Liu Wei-Min, Ji Yu-Hao, Wu Gui-Song, Hu Qing-Yang, Wang Jian-Bin ",Zhu Tian Zhi Zun
Taiwan,Liang Che-Fu ,martial arts,https://en.hkcinema.ru/foto/1c850a2f.jpg,1978,"Wen Chiang-Long, Fan Ling, Pai Ying, Wang Hsieh, Lee Ying, Lee Hung, Weng Hsiao-Hu, Cheung Ching-Fung, Ng Chung, Li Min-Lang ",The Supernatural
China,,martial arts,https://en.hkcinema.ru/foto/5948afd646b22.jpg,2019,Yuen Wo-Ping ,Invisible Guard
Taiwan,Chan Siu-Pang ,martial arts,https://en.hkcinema.ru/foto/c43fc0a3.jpg,1976,"Carter Wong Ka-Tat, Lo Lieh, Doris Lung Chun-Erh, Cliff Lok, Wang Hsieh, Kam Kong, Lung Fei, Wen Chiang-Long, Liu Ping, Ngok Fung ",The Invisible Terrorist
China,Li Jian ,"martial arts, action",https://en.hkcinema.ru/foto/nofoto.gif,2016,"Hu Guo-Fang, Yang Shi-Han, Xiao Song, He Kun, Ben Hedges, Cai Hang-Yu, Yang Jia-Xin, Lao Zhu-Tou, Hu Cheng, Xue Gang ",Nan Yan Zhi Yu
China,"Wang Ying, Li De-Chao ","historical, martial arts, thriller",https://en.hkcinema.ru/foto/5baf274e5d512.jpg,2018,"Zheng Ze-Yi, Ceng Yan, Tian Xiong, Cynthina Chen Yuan-Yuan, Zhang Ying-Qi, Wang Jie, Wang Yu, Fan Xiao-Hui, Shi Cong-Hui ",Unique Imperial Guards
China,Zhang Jin-Tao ,"action, romance, martial arts",https://en.hkcinema.ru/foto/5d7e2d58c60a9.jpg,2019,"Eric Suen Yiu-Wai, Song Chen, Hu Bo, Yu Zi-Kuan, Ren Tian-Qi, Zhu Ke-Ren, Zhang Lei, Yu Fei ",Da Ming Ye Shi Zhi Jin Yi Yu
Hong Kong,Mok Hong-See ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1963,"Walter Tso Tat-Wah, Law Yim-Hing, Leung Sing-Bo, Sek Kin, Ho King-Fan, Ling Mung, Lee Yuet-Ching, Chu Yau-Ko, Cheung Chi-Suen ",The Invincible Yuanyang Swords
Hong Kong,Law Kei ,martial arts,https://en.hkcinema.ru/foto/de602c36.jpg,1978,"Bruce Li Shao-Lung, Michael Chan Wai-Man, Nick Cheung Lik, San Kuai, Chan Sing, Bolo Yeung Sze, Wong Mei, Lam Yeung-Yeung, Mars ",Bruce Lee The Invincible
Hong Kong,Wu Pang ,martial arts,https://en.hkcinema.ru/foto/481460b1.jpg,1961,"Kwan Tak-Hing, Yu So-Chau, Lam Kau, Lee Heung-Kam, Sek Kin ",The Invincible Iron Fan
Hong Kong,Fung Fung ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1965,"Yu So-Chau, Petrina Fung Bo-Bo, Kwan Hoi-San, Sek Kin, Tang Di, Ling Mung, Yung Yuk-Yi, Yam Yin, Sai Gwa-Pau, Simon Yuen Siu-Tin ",The Invincible Kid Fong Sai-yuk
Hong Kong,Hou Cheng ,"martial arts, drama",https://en.hkcinema.ru/foto/9a98ca3a.jpg,1973,"Alan Tang Kwong-Wing, Kurata Yasuaki, Han Ying-Chieh, Tang Pao-Yun, Lee Keung, Yee Hung, Shao Lo-Hui, Yu Chung-Chiu, Poon Cheung-Ming ",Unsubdued Furies
Hong Kong,Chu Mu ,martial arts,https://en.hkcinema.ru/foto/3db95457.jpg,1971,"Alan Tang Kwong-Wing, Charlie Chin Chiang-Lin, Ingrid Hu Yin-Yin, Tony Liu Chun-Ku, Pai Ying, Cheung Kei, Chu Mu, Chiang Nan ",The Invincible Iron Palm
Taiwan,Raymond Lui Shing-Gung ,martial arts,https://en.hkcinema.ru/foto/8d5cfde7.jpg,1978,"Raymond Lui Shing-Gung, Chi Kuan-Chun, Wen Chiang-Long, Shut Chung-Tin, Tso Yen-Yung, Chen Siu-Chen, Tsang Chiu, Wong Fei-Lung, So Kwok-Leung ",Shaolin Invincible Guys
Taiwan,Lee Hang ,martial arts,https://en.hkcinema.ru/foto/4d07912e.jpg,1969,"Bai Lan, Chan Ling, Tsai Hei-Hwa, Tsui Fu-Sheng, Fuh Bih-Huei, Wong Yu, Got Siu-Bo, Sun Peng-Wan, Pan Chieh-Yi, Chen Kuo-Chun, Chung Yau ",Jade Goddess
Taiwan,Yeung Siu ,martial arts,https://en.hkcinema.ru/foto/a542de37.jpg,1970,"Fong Yue, Chin Ho, Lui Ming, Gam Sek, Lee Hung, Julie Lee Chi-Lun, Su Chu, Yip Ching, Shao Pei-Yu, Chen Shu-Zhu, Hou Hsiao-Ti ",Jade Lion
Hong Kong,"Fu Chi, Cheung Sing-Yim ",martial arts,https://en.hkcinema.ru/foto/e4bc7991.jpg,1966,"Chen Si-Si, Fu Chi, Wong Pao-Cheng, Ping Fan, Chu Li, Leung Hang, Pai Ti, Yang Sheng, Li Tse-Yu, Soo Chin, Chui Lik, Cheung Ho ",The Jade Bow
China,Luo Le ,"action, fantasy, martial arts",https://en.hkcinema.ru/foto/5bf8faeda0a5d.jpg,2018,"Li Xian-Shi, Qi Xin, Zong Yi-Tong, Yang Shu-Feng, Norman Chu Siu-Keung, Xu Ai-Min, Quan You, Wang Lei, Chen Xue-Wei ",Nocturnal Medicine
Hong Kong,Yam Pang-Nin ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1961,"Wu Lai-Chu, Walter Tso Tat-Wah, Yu So-Chau, Hu Hung-Yen, Sek Kin, Chow Kei, Tang Mei-Mei, Simon Yuen Siu-Tin, Lai Ming, Wong Sau-Han ",Nocturnal Mission of Three Kunlun Swordswomen
Taiwan,Chang Fang-Hsia ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1968,"Ma Kei, Tinny Ng Sau-Fong, Wai Wang, Yuen Sam, Wu Chia-Chi, Sun Chung, Ko Hsiang-Ting, Cho Kin, Liu Chik, Sally Chen Sha-Li ",The One-Legged Fiend
Hong Kong,Lee Tit ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1969,"Patrick Tse Yin, Ling Fung, Fong Sam, Cheung Yee, Yuen Siu-Fai, Eddy Ko Hung, Ling Mung, Wah Wan-Fung, Pak Man-Biu, Hao Li-Jen ",The Sainted Sword
Hong Kong,Ling Yun ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1962,"Lam Ka-Sing, Yu So-Chau, Josephine Siao Fong-Fong, Sek Kin, Kam Ying-Lin, Chu Dan, Ling Mung, Wong Chiu-Fung, Lok Gung, Cheung Sing-Fei ","The Desperado, Part One"
Hong Kong,Ku Wen-Chung ,"martial arts, comedy",https://en.hkcinema.ru/foto/b8d3e394.jpg,1952,"Lau Ga-Yee, Lau Kwai-Hong, Lo Ban-Chiu, Law Yim-Hing, Sek Kin, Lam Ka-Sing, Ho King-Fan, Ha Bo-Lin, Yeung Yip-Wang, Simon Yuen Siu-Tin ",Ouying De and His Double
China,Qian Ying-Huai ,"comedy, martial arts, historical",https://en.hkcinema.ru/foto/5c3d506b37764.jpg,2019,"Anna Fang An-Na, Hong Yao, Yu Yi-Ling, Yuan Xin, Dong De-Sheng, Lee Kin-Yan, Jiao Chang-Shun, Yang Zhen-Qi, Chen Sha-Ping, Zhang Yu-Jun ",Hunter Bounty 2
Hong Kong,Yam Pang-Nin ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1941,"Wu Lai-Chu, Fung Fung, Yiu Ping, Wong Ha-Fei, Wong Cho-San, Gam Yi, Fung Fung, Ha Bo-Lin, Yeung Yat-Ping, Gam Ling, Lai Ming ",The Woman Guard
Hong Kong,Law Chi ,martial arts,https://en.hkcinema.ru/foto/5ecbd9da.jpg,1981,"Nancy Yen Nan-See, Mang Fei, Sally Chen Sha-Li, Li Chung-Chien, Elsa Yeung Wai-San, Cheung Yuk-Lung, Wang Hsieh, Miao Tian, Shut Chung-Tin ",The Guy with Secret Kung-Fu
Hong Kong,Ting Shan-Hsi ,martial arts,https://en.hkcinema.ru/foto/ad54f099.jpg,1974,"Cheng Pei-Pei, Yee Yuen, Tsai Hung, Wu Te-Shan, Guk Ying, Ngai Chi-Wong, Chan Ho, Chen Hao, Wong Wai, Dung Gam-Woo, Tung Yuan ",Whiplash
Hong Kong,Wu Pang ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1955,"Kwan Tak-Hing, Walter Tso Tat-Wah, Lam Ye, Sek Kin, Ko Lo-Chuen, Lam Kau, Lau Kwai-Hong, Liu Chi-Wai, Poon Kwai-Yat, Tang Tak-Wah, Wu Wan-Fei ",The True Story of Wong Fei-Hung
Taiwan,Chui Yuk-Lung ,martial arts,https://en.hkcinema.ru/foto/571808c7.jpg,1980,"Ling Yun, Wong Goon-Hung, Chen Hung-Lieh, Violet Pan Ying-Zi, Angela Mao Ying, Sun Yueh, Hong Hoi, Wen Chiang-Long, Mau Ging-Shun ",Moonlight Murderer
Hong Kong,Chang Cheh ,"martial arts, fantasy",https://en.hkcinema.ru/foto/2d0e2b9f.jpg,1975,"Alexander Fu Sheng, Richard Harrison, Chi Kuan-Chun, Bruce Tong Yim-Chaan, Gordon Liu Chia-Hui, Johnny Wang Lung-Wei, Li Tong-Chun ",Marco Polo
China,Kant Leung Wang-Fat ,martial arts,https://en.hkcinema.ru/foto/39b42042.jpg,2002,"Dragon Sek Tin-Lung, Karen Cheung Bo-Man, Ben Ng Ngai-Cheung, Karel Wong Chi-Yeung, Sze Hung-Bor, Yannie Chen Yan, Willy Kong Wai ",Dragon the Master 2
Hong Kong,Yeung Chit ,martial arts,https://en.hkcinema.ru/foto/a8083ebc.jpg,1961,"Walter Tso Tat-Wah, Yu So-Chau, Lam Kau, Josephine Siao Fong-Fong, Hung Bo, Chan Ho-Kau, Sek Kin, Ling Mung, Sai Gwa-Pau, Siu Hon-Sang ",Sword of Vengeance (Part 1)
Hong Kong,Wong Hok-Sing ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1963,"Walter Tso Tat-Wah, Tang Pik-Wan, Hung Bo, Lee Hung, Tong Kai, Wah Wan-Fung, Lai Man, Yu So-Chau, Chan Pei-Mui, Cheung Sing-Fei ",Sword and Pen
Hong Kong,Lee Sun-Fung ,martial arts,https://en.hkcinema.ru/foto/676a3dfb.jpg,1959,"Walter Tso Tat-Wah, Lee Ching, Tsi Law-Lin, Sek Kin, Sheung-Kwun Kwan-Wai, Wong Cho-San, Go Chiu, Lai Man, Lam Liu-Ngok, Lam Yuk ",Sword of Blood and Valour (Part 2)
