country,director,genre,poster,release_year,starring,title
Hong Kong,"Leong Sum, Yip Yat-Sing, Kwong Kwong ","martial arts, fantasy",https://en.hkcinema.ru/foto/nofoto.gif,1950,"Lam Mui-Mui, Yu Kai, Yip Wan-Ha, Lee Pang-Fei, Sze Pak-Yeuk, Cheung Sang, Wong Kun-Lun, Luk Chung-Hap, Leung Yeuk-Ngoi, Tin Kei-Fong ",The Battle Between Ne Zha and the Scarlet Boy
Taiwan,Ulysses Au-Yeung Jun ,martial arts,https://en.hkcinema.ru/foto/14d3f67b.jpg,1972,"Mang Fei, Maggie Li Lin-Lin, Shut Ma Wah-Lung, Kurata Yasuaki, Alan Chan Kwok-Kuen, Yuen Shun-Yi, Brandy Yuen Jan-Yeung, Wynn Lau Chun-Fai ",Prodigal Boxer
Taiwan,Lee King-Chuen ,martial arts,https://en.hkcinema.ru/foto/56251380d6380.jpg,1974,"Kwan Hung, Chang Chi-Ping, Yeung Lee-Gwan, Lee Ying, Ng Tung-Kiu, Chi Fu-Chiang, Yu Chung-Chiu, Lam Kau, Chin Wan-Che, Woo Yin ",Single Fighter
Hong Kong,Jeng Cheong-Woh ,martial arts,https://en.hkcinema.ru/foto/fac3eb5d.jpg,1971,"Lo Lieh, Margaret Hsing Hui, Chin Han, Wang Hsieh, Fang Mian, Chai No, Tung Lam, Huang Chung-Hsin, Fan Mei-Sheng, Yip Bo-Kam, Shum Lo ",The Swift Knight
Taiwan,Pao Hsueh-Li ,martial arts,https://en.hkcinema.ru/foto/5cf9665c.jpg,1980,"Nora Miao Ke-Hsiu, Shih Szu, Ko Keung, Tien Peng, Dorian Tan Tao-Liang, Han Yu, Tsai Hung, Wang Lai, Chin Feng, Wang Hsieh, Kam Kong ",The Great Conspiracy
Taiwan,Larry Tu Chong-Hsun ,martial arts,https://en.hkcinema.ru/foto/d972d32b.jpg,1975,"Jimmy Wang Yu, Hsu Feng, Chia Ling, Chang Yu, Chen Hung-Lieh, Hsieh Han, Sun Yueh, Chiu Ting, Cliff Ching Ching, Hung Fa-Long, Yan Chung-Shing ",The Great Hunter
Hong Kong,Law Chi ,martial arts,https://en.hkcinema.ru/foto/b013447d.jpg,1970,"Tam Yi-Lee, Chu Mu, Wendy Chun Wan, Chung Yau, Got Tin, Cheung Ban, Leung Yui, Chai Lin-Fui, Lau Kong, Chui Dai-Chuen, Kam Shan ",The Great Highwayman
Hong Kong,Lo Wei ,martial arts,https://en.hkcinema.ru/foto/ece564b1.jpg,1978,"Jackie Chan, Bruce Leung Siu-Lung, Wang Ping, James Tin Chuen, Wong Gwan, Ko Keung, Lee Man-Tai, Lui Wan-Biu, Chui Yuen, Liu Ming ",Magnificent Bodyguards
South Korea,Lee Doo-Yong ,martial arts,https://en.hkcinema.ru/foto/4bc69ace.jpg,1974,"Charles Han Yong-Cheol, Kwan Yung-Moon, Jeong Ae-Jeong, Lee So-Yeong, Kim Mun-Ju, Bae Su-Cheon, Kim Wang-Kuk, Park Dong-Yong, Chiu Chun ",Returned Single-Legged Man
Taiwan,Ting Shan-Hsi ,"martial arts, drama, historical, fantasy",https://en.hkcinema.ru/foto/5143f064.jpg,1993,"Gam Siu-Mooi, Tou Chung-Hua, Emily Chu Bo-Yee, Liu Chun, Doris Kuang Ming-Chieh, Lee Chih-Chi, Don Wong Tao, Wong Kuen, Chang Fu-Chien ",Magic Sword
Hong Kong,Wu Pang ,martial arts,https://en.hkcinema.ru/foto/2ea740e2.jpg,1956,"Kwan Tak-Hing, Walter Tso Tat-Wah, Yam Yin, Sek Kin, Wong Siu-Ang, Ding Yue, Lam Sing-Fan, Liu Chia-Liang, Sai Gwa-Pau, Siu Lo-Fu, Siu Hon-Sang ",Wong Fei-Hung's Battle at Shuangmendi
Hong Kong,Wu Pang ,"martial arts, musical",https://en.hkcinema.ru/foto/nofoto.gif,1957,"Kwan Tak-Hing, Tang Pik-Wan, Lau Cham, Leung Miu-Seung, Sek Kin, Au-Yeung Kim, Sai Gwa-Pau, Siu Hon-Sang ",Wong Fei-Hung's Three Battles with the Unruly Girl
South Korea,Lee Doo-Yong ,martial arts,https://en.hkcinema.ru/foto/b484bb7f.jpg,1974,"Charles Han Yong-Cheol, Woo Yeon-Jeong, Bae Su-Cheon, Bruce Cheung Mong, Kim Mun-Ju, Kim Hong-Ji, Kim Yeong-Ran, Choe Jae-Ho, Jo Deok-Seong ",Gate of Destiny
Hong Kong,,"martial arts, drama",https://en.hkcinema.ru/foto/nofoto.gif,1987,"Cecilia Wong Hang-Sau, Mang Fei, Kitty Lai Mei-Han, Andy Tai Chi-Wai, Paul Chun Pui, Eddy Ko Hung, Lau Kong, Ng Man-Tat ",The Rise of a Kung Fu Master
Taiwan,Ulysses Au-Yeung Jun ,martial arts,https://en.hkcinema.ru/foto/5622bd356ac72.jpg,1975,"Hsu Feng, Carter Wong Ka-Tat, Liu Shan-Chian, Chin Chi-Min, Wang Ching-Ping, Chang Yu, Chang Fang-Hsia, Chiang Ching-Hsia, Chan Wai-Lau ",Dragon Gate
Hong Kong,Billy Chan Wui-Ngai ,martial arts,https://en.hkcinema.ru/foto/e38de328.jpg,1993,"Tony Leung Ka-Fai, Joey Wong Cho-Yin, Lau Ching-Wan, Elvis Tsui Kam-Kong, Billy Ching Sau-Yat, Wu Ma, Lam Wai, Lau Shun, Austin Wai Tin-Chi ",All Men Are Brothers - Blood of the Leopard
South Korea,Kim Si-Hyeon ,martial arts,https://en.hkcinema.ru/foto/562bb895489b4.jpg,1975,"Ko Keung, Whang In-Shik, Martin Chui Man-Kwai, Kim Ki-Ju, Lee Ye-Min, Han Myeong-Hwan, Lee Suk-Koo, Jang Jeong-Kuk, Chiu Chun ",Close Kung Fu Encounter
