_id,country,director,genre,poster,release_year,starring,title
5decc92c3e516e768a3889cc,Hong Kong,Raymond Yip Wai-Man ,"martial arts, comedy",https://en.hkcinema.ru/foto/590040ae.jpg,2003,"Miriam Yeung Chin-Wah, Ekin Cheng Yee-Kin, Wong Yau-Nam, Denise Ho Wan-Si, Lau Kar-Wing, Lee Lik-Chi, Tats Lau Yi-Tat, Charles Ingram ",Anna in Kungfu-land
5decc92c3e516e768a3889b2,Hong Kong,Fung Chi-Kong ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1962,"Tang Pik-Wan, Yam Yin, So Siu-Tong, Lam Kau, Yu So-Chau, Tam Lan-Hing, Cecelia Lee Fung-Sing, Connie Chan Po-Chu, Tam Sin-Hung, Mui Lan ",8 Roaming Heroines (Part 1)
5decc92c3e516e768a3889c9,Hong Kong,Chow Sze-Luk ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1963,"Chuang Shueh-Chuang, Fang Chiao-Yu, Ting Chor-Kiow, Lam Jing-Yee, Chen Li-Juan, Chen Wen-Chang, Qiu Li-Qing, Zheng Chun-Ying, Chan To ",Twin Charms
5decc92c3e516e768a3889d1,Hong Kong,Michael Mak Dong-Git ,martial arts,https://en.hkcinema.ru/foto/e27a917b.jpg,1993,"Tony Leung Chiu-Wai, Joey Wong Cho-Yin, Donnie Yen Ji-Dan, Michelle Yeoh, Tou Chung-Hua, Elvis Tsui Kam-Kong, Wong Chung-Kui, Wong Yiu ",Butterfly Sword
5decc92c3e516e768a38899d,Taiwan,Hou Cheng ,"martial arts, comedy",https://en.hkcinema.ru/foto/bead8fa0.jpg,1970,"Violet Pan Ying-Zi, Chiang Ming, Lee Yan-Wa, Fong Wan-Wan, Sek Fung, Chiang Kuang-Chao, Heung Yeung, Ku Kwan, Li Yi-Min, Wong Yu ",13 Worms
5decc92c3e516e768a3889ab,Hong Kong,Liu Chia-Liang ,martial arts,https://en.hkcinema.ru/foto/e6b40994.jpg,1978,"Gordon Liu Chia-Hui, Wong Yu, Lee Hoi-Sang, Lo Lieh, Norman Chu Siu-Keung, Hon Kwok-Choi, Alan Chui Chung-San, Billy Chan Wui-Ngai ",The 36th Chamber of Shaolin
5decc92c3e516e768a38899f,South Korea,Kim Jung-Yong ,martial arts,https://en.hkcinema.ru/foto/08712cd5.jpg,1977,"Dragon Lee, Pearl Lin Yin-Zhu, Chang Yi-Tao, Kim Ki-Ju, Elton Chong, Kim Yu-Haeng, Guk Ching-Woon, Choe Mu-Ung, Kim Myeong-Ah, Kim Dong-Ho ",The 18 Amazones
5decc92c3e516e768a3889ba,Hong Kong,Hou Cheng ,"martial arts, comedy",https://en.hkcinema.ru/foto/55cc8196d5a89.jpg,1974,"Polly Shang-Kuan Ling-Feng, Woo Gam, Yueh Yang, Chiang Kuang-Chao, Got Siu-Bo, Hon Siu, Wang Sun, Go Ming, Tieh Meng-Chiu ",Empress Dowager's Agate Vase
5decc92c3e516e768a3889bc,Hong Kong,"Li Kuo-Hua, Shih Hung ",martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1971,"Violet Pan Ying-Zi, Kong Ban, Chen Hung-Lieh, Wong Cheung-Ling, Wai Wang, Han Chiang, Law Bun, Cho Kin ",Hellfighers
5decc92c3e516e768a3889c5,Taiwan,Tang Chen-Dah ,martial arts,https://en.hkcinema.ru/foto/280ce499.jpg,1980,"Lau Wing, Nau Nau, Pai Ying, Chan Sing, Chiang Ching-Hsia, Li Wan-Chun, Lee Ying, Wan Shan, Wan Chung-Shan, Han Ying-Chieh ",The Jade Hairpin Alliance
